dt=0.010000 dtacc=0.020000 dtmag=0.100000 racc=0.100000 rmag=0.500000 qbg=0.000100
q0 q1 q2 q3 gbx gby gbz roll pitch yaw
0.000276 0.000800 0.001949 0.000743 -0.005287 0.001971
0.000278 0.000784 0.001955 0.000737 -0.005249 0.001971
0.000232 0.000747 0.002012 0.000737 -0.005249 0.001971
0.000121 0.000764 0.002036 0.000744 -0.005242 0.001971
0.000168 0.000777 0.002032 0.000744 -0.005242 0.001971
0.000133 0.000809 0.002055 0.000773 -0.005235 0.001971
0.000155 0.000757 0.002015 0.000773 -0.005235 0.001971
0.000052 0.000694 0.001927 0.000836 -0.005232 0.001971
0.000024 0.000637 0.001839 0.000836 -0.005232 0.001971
-0.000013 0.000600 0.001427 0.000867 -0.005237 0.002334
-0.000056 0.000537 0.001348 0.000867 -0.005237 0.002334
-0.000131 0.000496 0.001372 0.000856 -0.005223 0.002334
-0.000152 0.000529 0.001434 0.000856 -0.005223 0.002334
-0.000224 0.000578 0.001445 0.000859 -0.005216 0.002334
-0.000246 0.000565 0.001506 0.000859 -0.005216 0.002334
-0.000246 0.000433 0.001559 0.000871 -0.005168 0.002334
-0.000283 0.000430 0.001523 0.000871 -0.005168 0.002334
-0.000278 0.000486 0.001447 0.000872 -0.005180 0.002334
-0.000365 0.000497 0.001388 0.000872 -0.005180 0.002334
-0.000342 0.000459 0.001177 0.000820 -0.005224 0.002530
-0.000270 0.000520 0.001220 0.000820 -0.005224 0.002530
-0.000289 0.000505 0.001305 0.000812 -0.005226 0.002530
-0.000299 0.000455 0.001191 0.000812 -0.005226 0.002530
-0.000307 0.000485 0.001081 0.000829 -0.005190 0.002530
-0.000294 0.000562 0.000972 0.000829 -0.005190 0.002530
-0.000289 0.000450 0.000991 0.000830 -0.005131 0.002530
-0.000324 0.000411 0.001001 0.000830 -0.005131 0.002530
-0.000373 0.000316 0.000991 0.000845 -0.005141 0.002530
-0.000339 0.000351 0.000951 0.000845 -0.005141 0.002530
-0.000155 0.000388 0.000369 0.000811 -0.005136 0.002964
-0.000141 0.000413 0.000363 0.000811 -0.005136 0.002964
-0.000162 0.000357 0.000394 0.000785 -0.005114 0.002964
-0.000167 0.000365 0.000362 0.000785 -0.005114 0.002964
-0.000158 0.000352 0.000363 0.000775 -0.005098 0.002964
-0.000062 0.000368 0.000325 0.000775 -0.005098 0.002964
-0.000155 0.000403 0.000291 0.000802 -0.005126 0.002964
-0.000181 0.000436 0.000207 0.000802 -0.005126 0.002964
-0.000195 0.000406 0.000245 0.000762 -0.005118 0.002964
-0.000169 0.000431 0.000226 0.000762 -0.005118 0.002964
-0.000146 0.000571 -0.000095 0.000767 -0.005158 0.003198
-0.000116 0.000657 -0.000098 0.000767 -0.005158 0.003198
-0.000167 0.000658 -0.000125 0.000751 -0.005136 0.003198
-0.000169 0.000697 -0.000179 0.000751 -0.005136 0.003198
-0.000122 0.000656 -0.000147 0.000770 -0.005096 0.003198
-0.000126 0.000707 -0.000159 0.000770 -0.005096 0.003198
-0.000039 0.000764 -0.000125 0.000770 -0.005110 0.003198
0.000053 0.000738 -0.000146 0.000770 -0.005110 0.003198
0.000027 0.000763 -0.000224 0.000753 -0.005094 0.003198
0.000029 0.000728 -0.000279 0.000753 -0.005094 0.003198
-0.000095 0.000811 -0.000003 0.000759 -0.005118 0.003010
-0.000085 0.000799 -0.000000 0.000759 -0.005118 0.003010
-0.000127 0.000755 0.000035 0.000770 -0.005083 0.003010
-0.000117 0.000769 0.000042 0.000770 -0.005083 0.003010
-0.000137 0.000789 -0.000050 0.000756 -0.005048 0.003010
-0.000159 0.000899 -0.000010 0.000756 -0.005048 0.003010
-0.000214 0.000901 -0.000030 0.000759 -0.005035 0.003010
-0.000178 0.000874 -0.000073 0.000759 -0.005035 0.003010
-0.000167 0.000829 -0.000125 0.000763 -0.005019 0.003010
-0.000150 0.000809 -0.000177 0.000763 -0.005019 0.003010
-0.000118 0.000737 0.000447 0.000779 -0.005030 0.002542
-0.000106 0.000851 0.000454 0.000779 -0.005030 0.002542
-0.000001 0.000890 0.000415 0.000752 -0.005040 0.002542
-0.000050 0.000972 0.000424 0.000752 -0.005040 0.002542
-0.000064 0.000948 0.000384 0.000746 -0.005010 0.002542
-0.000016 0.000946 0.000441 0.000746 -0.005010 0.002542
-0.000063 0.000978 0.000436 0.000768 -0.004997 0.002542
-0.000087 0.000901 0.000406 0.000768 -0.004997 0.002542
-0.000078 0.000884 0.000340 0.000741 -0.004974 0.002542
-0.000163 0.000958 0.000319 0.000741 -0.004974 0.002542
-0.000158 0.000933 0.000234 0.000718 -0.004981 0.002594
-0.000132 0.000976 0.000210 0.000718 -0.004981 0.002594
-0.000107 0.000996 0.000185 0.000690 -0.004968 0.002594
-0.000096 0.001036 0.000176 0.000690 -0.004968 0.002594
-0.000106 0.000993 0.000190 0.000695 -0.004939 0.002594
-0.000013 0.001024 0.000179 0.000695 -0.004939 0.002594
0.000084 0.001009 0.000138 0.000688 -0.004910 0.002594
0.000148 0.001038 0.000181 0.000688 -0.004910 0.002594
0.000135 0.001004 0.000107 0.000702 -0.004873 0.002594
0.000195 0.001001 0.000014 0.000702 -0.004873 0.002594
0.000273 0.001032 -0.000296 0.000694 -0.004877 0.002779
0.000244 0.001056 -0.000410 0.000694 -0.004877 0.002779
0.000200 0.001042 -0.000348 0.000699 -0.004873 0.002779
0.000164 0.001007 -0.000341 0.000699 -0.004873 0.002779
0.000228 0.001017 -0.000356 0.000700 -0.004832 0.002779
0.000154 0.001061 -0.000367 0.000700 -0.004832 0.002779
