dt=0.010000 dtgps=0.100000 dtbaro=0.100000 kp_baro=0.000000 kp_gps=0.000000 ki=0.010000
dt=0.000000 dtgps=0.000000 dtbaro=0.010000 kp_baro=0.010000 kp_gps=0.010000 ki=0.000000
dt=0.010000 dtgps=0.010000 dtbaro=0.000000 kp_baro=0.001000 kp_gps=0.001000 ki=0.001000
dt=0.001000 dtgps=0.001000 dtbaro=0.001000 kp_baro=px py pz vx vy vz
0.679510 0.134412 -42.077443 0.555838 0.141296 -30.973631
0.682672 0.134799 -42.390317 0.316240 0.038708 -31.287437
0.685847 0.135189 -42.704171 0.317530 0.038963 -31.385349
0.689036 0.135581 -43.019003 0.318864 0.039241 -31.483209
0.692238 0.135976 -43.334812 0.320196 0.039472 -31.580971
0.695454 0.136373 -43.651601 0.321562 0.039747 -31.678879
0.698684 0.136774 -43.969369 0.323041 0.040050 -31.776732
0.701929 0.137177 -44.288114 0.324520 0.040354 -31.874586
0.705188 0.137585 -44.607838 0.325874 0.040786 -31.972345
0.708461 0.137996 -44.928539 0.327303 0.041072 -32.070102
0.711749 0.138409 -45.250217 0.328839 0.041311 -32.167807
0.717626 0.139841 -45.575040 0.587616 0.143241 -32.482261
0.723514 0.141276 -45.900841 0.588845 0.143456 -32.580102
0.729416 0.142713 -46.227619 0.590193 0.143699 -32.677838
0.735333 0.144152 -46.555373 0.591689 0.143962 -32.775421
0.741263 0.145593 -46.884105 0.593072 0.144102 -32.873133
0.747208 0.147037 -47.213814 0.594462 0.144320 -32.970918
0.753166 0.148483 -47.544500 0.595814 0.144614 -33.068679
0.759138 0.149932 -47.876165 0.597211 0.144934 -33.166437
0.765124 0.151385 -48.208808 0.598593 0.145275 -33.264344
0.771125 0.152840 -48.542430 0.600120 0.145548 -33.362147
0.774142 0.153654 -48.879104 0.301648 0.081381 -33.667469
0.777171 0.154471 -49.216758 0.302939 0.081643 -33.765306
0.780214 0.155291 -49.555389 0.304280 0.082005 -33.863164
0.783269 0.156113 -49.894999 0.305504 0.082277 -33.961004
0.786337 0.156939 -50.235587 0.306783 0.082548 -34.058817
0.789419 0.157768 -50.577154 0.308188 0.082876 -34.156673
0.792514 0.158599 -50.919699 0.309522 0.083179 -34.254533
0.795621 0.159433 -51.263223 0.310729 0.083384 -34.352350
0.798743 0.160269 -51.607724 0.312110 0.083555 -34.450111
0.801878 0.161107 -51.953202 0.313543 0.083776 -34.547796
0.808243 0.161780 -52.301717 0.636532 0.067295 -34.851457
