idSensor;source;status;quality;flowCompX;flowCompY;groundDistance;flowX;flowY;timestamp;index
0;0;1;64;-0.32464945;0.70547646;4.556;0;-1;37163882;46955
0;0;1;64;1.9588625;-0.39864224;4.136;-4;1;37163902;46957
0;0;1;64;-0.24571756;0.8630269;4.136;0;-2;37163921;46959
0;0;1;64;0.5209393;0.68085176;4.136;-1;-1;37163945;46961
0;0;1;64;0.24737518;0.4807347;4.136;0;-1;37163968;46963
0;0;1;64;1.4757988;-2.0114186;4.136;-3;5;37163980;46964
0;0;1;64;0.28683624;0.27941716;4.136;0;0;37163988;46965
0;0;1;64;0.7560755;0.24309993;4.085;-1;0;37164011;46967
0;0;1;64;1.5047046;0.5022194;4.085;-3;-1;37164019;46968
0;0;1;64;1.7842165;-0.0072454764;4.085;-4;0;37164042;46970
0;0;1;64;0.21944404;0.32027453;4.085;0;0;37164062;46972
0;0;1;64;-0.7369137;1.6742072;4.085;1;-4;37164074;46973
0;0;1;64;1.3553995;0.5168874;4.085;-3;-1;37164085;46974
0;0;1;64;0.7280763;0.20599574;4.341;-1;0;37164105;46976
0;0;1;64;0.95055664;1.1254776;4.341;-2;-2;37164117;46977
0;0;1;64;-0.22791636;-1.1590877;4.341;0;2;37164140;46979
0;0;1;64;-2.2160842;1.5206367;4.341;5;-3;37164160;46981
0;0;1;64;-0.8000016;-0.24060437;4.341;1;0;37164183;46983
0;0;1;64;0.004984388;1.8023751;4.406;0;-3;37164203;46985
0;0;1;64;-0.40256482;1.1466658;4.406;0;-2;37164222;46987
0;0;1;64;0.0621894;-0.17803991;4.406;0;0;37164246;46989
0;0;1;64;0.29795682;-0.39921498;4.406;0;0;37164277;46992
0;0;1;64;-2.6012444;1.6934571;4.406;5;-3;37164300;46994
0;0;1;64;0.84596217;1.942823;4.381;-1;-4;37164320;46996
0;0;1;64;1.6692152;0.53098714;4.381;-3;-1;37164343;46998
0;0;1;64;-0.57708174;0.9295907;4.381;1;-2;37164363;47000
0;0;1;64;0.008945078;0.25994083;4.381;0;0;37164386;47002
0;0;1;64;-0.098863184;-1.606797;4.288;0;3;37164406;47004
0;0;1;64;0.74237657;1.0041568;4.288;-1;-2;37164417;47005
0;0;1;64;-0.85779315;0.6590534;4.288;1;-1;37164437;47007
0;0;1;64;-0.69344246;0.96563613;4.288;1;-2;37164460;47009
0;0;-1;64;-0.69344246;0.96563613;4.288;1;-2;37164464;47010
0;0;1;64;-0.9896572;-0.12919371;4.288;2;0;37164484;47012
0;0;1;64;-1.5909235;2.2264986;4.544;3;-5;37164515;47015
0;0;1;64;-0.03974271;1.4474859;4.544;0;-3;37164523;47016
0;0;1;64;-0.32475182;-0.05260147;4.544;0;0;37164535;47017
0;0;1;64;-0.28227806;1.2950352;4.544;0;-2;37164554;47019
0;0;1;64;-0.043359578;2.1020095;4.544;0;-4;37164578;47021
0;0;1;64;-0.031436145;-0.97285366;4.061;0;2;37164613;47024
